Mstr Cust Acct Cd,Acs Cust Acct Cd,Customer Name,Cust Status Cd
GHP,AHOCK,ANCHOR HOCKING GLASS CO DIV OF GLOBAL HOME PRODUCTS,I
AHR,AHR,"CONSOLIDATED HOSPITALITY SUPPLIES, LLC",A
AHUP,AHUP,ASIEN-HANDEL UND PRODUKTION,I
AIE,AIE,ASIA INDUSTRIAL ENTERPRISES,I
AIITC,AIITC,AUCHAN INT'L (SHANGHAI) INT'L TRADING CO LTD,I
AIM,AIM,"AIM INDUSTRIA, S.A. DE C.V.",I
AIRCON,AIRCON,AIR CONNECTIONS,I
AEBV,AIT,ASICS ITALY,I
AJH,AJH,A. J. HOULDCROFT,I
AKZO,AKZO,AKZO NOBEL CHEMICALS PTE LTD,I
EBSI,ALAM,ALL AMERICAN SPORTS CORPORATION,I
EBSI,ALAMEX,ALL AMERICA SPORTS CORPORATION (EXPORTS),I
ALBA,ALBA,ALBA TALAVARA,I
ALBCOL,ALBCOL,FOR BILLING ONLY,I
ALBION,ALBION,ALBION PIC,I
TAC,ALBRT,"ALBERTSONS, LLC",A
EMERSN,ALCZ,ALCO CONTROLS S.R.O,I
AEBV,ALD,ASICS LEADER (SPAIN),I
ALDER,ALDER,ALDER SPORTSWEAR LTD,I
ALEX,ALEX,ALEXANDER FURNITURE LTD,I
AGL,ALF,ARCADIA GROUP LIMITED,A
ALICO,ALICO,ALICO KNITWEAR LTD,I
ALKA,ALKA,ALKA INTERNATIONAL UK LTD,I
ALLENB,ALLENB,ALLENBERG COTTON,I
ALLIN,ALLIN,ALL-IN TRANSPORT BV,I
RIDD,ALLM,ALL AMERICAN SPORTS,A
ALLPH,ALLPH,ALLPORT HOUSE,I
DELL,ALPS,ALPS ELECTRIC EUROPE GMBH,I
MARE,ALSCHU,ALSCHU-CHEMIE GMBH,I
AEO,ALSHAY,M.H. ALSHAYA CO.LLC,A
AEO,ALSHEG,ALSHAYA EGYPT IMPORT,A
AEO,ALSHPD,ALSHAYA POLAND SP. Z.O.O,I
AEO,ALSHTU,SHAYA TURKEY,I
ALSP,ALSP,ALSP ELECTRIC (M) SDN BH,I
X3ALTI,ALTAIR,ALTAIR COMMERCE B.V.,I
X3ALTA,ALTAP,ALTAP B.V.,I
ALTEC,ALTEC,ALLSEMI TECNOLOGIA ELETRONICA LTDA,I
ALTI,ALTI,ALTEC LANSING LLC,I
ALWESP,ALWESP,APL LOGISTICS WAREHOUSING SVCES OBO ESPRIT,I
AMAHAM,AMAHAM,AMA FREIGHT AGENCY GMBH,I
AMAZON,AMAZON,"AMAZON FULFILLMENT SERVICE, INC",I
AMBBV,AMBAG,AMMERAAL BELTECH AG,I
AMBBV,AMBBV,AMMERAAL BELTECH HOLDING BV,I
AMBBV,AMBC,AMMERAAL BELTECH CHEMPRENE INC,I
AMBBV,AMBCHN,AMMERAAL BELTECH (SUZHOU) CO. LTD,I
AMBBV,AMBMAN,AMMERAAL BELTECH MANUFACTURING BV,I
AMBSIL,AMBSIL,AMBERSIL,I
AMBBV,AMBUSA,AMMERAAL BELTECH INC USA,I
AMC,AMC,ASSOCIATED MERCH CORP,I
AMCBA,AMCBA,ASSOCIATED MERCHANDISING CORP (S) PTE LTD,I
AMCLA,AMCLA,ASSOCIATED MERCHANDISING CORP (L/A),I
AMCMEX,AMCMEX,ASSOCIATED MERCHANDISING CORP (MEXICO),I
AMC,AMCSAG,"AMC, 5TH FLOOR, WEST WING",I
AMEREX,AMEREX,AMEREX GROUP INC,I
PHB,AMERO,"NOVA WILDCAT AMEROCK, LLC",I
AMET,AMET,ARVIN MERITOR EMISSIONS TECHNOLOGIES S.A.,I
AMEX,AMEX,AMEX U.K. LIMITED,I
AEO,AMFASH,CENCOSUD RETAIL S.A.,A
AMGFKF,AMGFKF,ARVIN MERITOR GMBH,I
AMHEAL,AMHEAL,US DIAGNOSTICS LLC,I
AMIEE,AMIEE,AMIEE LYNN,I
AMOCAT,AMOCAT,AMOCAT,I
RUSS,AMRAM,AMRAM'S,I
AMRAY,AMRAY,"AMRAY, S.A. DE C.V.",I
AMREC,AMREC,"AMERICAN RECREATION PRODUCTS, INC",I
AMS,AMS,AXIOM MANUFACTURING SERVICES,I
AMSCAN,AMSCAN,AMSCAN INTERNATIONAL LTD,I
AMSI,AMSI,"AMSCAN, INC",I
RMAID,AMTC,IRWIN INDUSTRIAL,I
AMTDEL,AMTDEL,DELL PRODUCTS,I
AMTEK,AMTEK,AMTEK PRECISION ENGINEERING,I
AMTOUR,AMTOUR,SAMSONITE,I
AMTRA,AMTRA,"C/O AMRTA, S.A.",I
AMWARE,AMWARE,AMWARE DISTRIBUTION WAREHOUSES,I
ANA,ANA,"A & A INT'L, LIMITED PARTNERSHIP",I
OPTMEA,ANAKAF,XANAKA S.A. FRANCE,I
ANAMAL,ANAMAL,ANABELLE MALDONADO RAMIREZ,I
DELL,ANAMIC,"ANAM INSTRUMENTS, INC",I
ANAN,ANAN,GENERAL WIRELESS OPERATIONS INC. D/B/A RADIOSHACK,A
ANB,ANB,ALGA NUTZFAHRZEUG - UND BAUMASCHINEN GMBH & CO KG,I
RMAID,ANCHOR,ANCHOR HOCKING GLASS CO.,I
AND,AND,A.N. DISTRIBUTION LTD,I
ANDRE,ANDRE,"SPRINGS INDUSTRIES, INC.",I
ANDREA,ANDREA,ANDREA DALLA VAL,I
ANEX,ANEX,ANEX,I
ANGL,ANGL,ANGLO EASTERN WOOL CO. (BRADFORD) LTD.,I
ANGLO,ANGLO,ANGLO CANADIAN MERCANTILE CO. LTD.,I
ANKER,ANKER,ANKER INTERNATIONAL PLC,I
ANKGST,ANKGST,AKS ANADOLU KONF.GID.SAN.TIC.LTD.STI,I
ASCENA,ANNINC,ANN INC.,A
ANNTLR,ANNTLR,ANN TAYLOR INC,I
ANNTRV,ANNTRV,ANN TRAVIS INC,I
ANT,ANT,ANNORA-T,I
ANTIK,ANTIK,ANTIK MARKT,I
ANTPOL,ANTPOL,ANTHONY POLLARD ASSOCIATED LTD,I
AOL,AOL,ANGLO OVERSEAS LIMITED,I
ESPRIT,APACAS,ESPRIT MACAO COMMERCIAL OFFSHORE LIMITED (APACAS),I
ESPRIT,APACEU,ESPRIT EUROPE SERVICES GMBH (APACEU),I
APB,APB,ASIA PAPER BAGS (UK) LTD,I
APC,APC,APC LOGISTICS PTY LTD,I
APCEUR,APCEUR,APC EUROPE,I
APGHAM,APGHAM,APL CO. (GERMANY),A
APHARM,APHARM,A1 PHARMACEUTICALS PLC,I
API,API,CORRECT CODE IS XAPI,I
APL,APL,AMERICAN PRESIDENT LINES LTD,I
APLANR,APLANR,APL LINER ANTWERP,I
APLAX,APLAX,APL LOGISTICS,I
APLBA,APLBA,APL LOGISTICS BANGLADESH,I
APLBEL,APLBEL,APL BELGIUM,I
APLBKK,APLBKK,APL LOGISTICS SVS,I
APLBR,APLBR,APL LOGISTICS (BRAZIL),I
APLBRB,APLBRB,APL LINES (AUSTRALIA) BRB,I
APLC,APLC,AORTECH PLC,I
APLCIT,APLCIT,APL LOGISTICS SVCS (THAILAND) LTD,I
APLCMB,APLCMB,APL LANKA PVT LTD,I
APLCO,APLCO,APL CO PTE LTD,I
APLCR,APLCR,APL LOGISTICS IMPROSA S.A.,I
APLDE,APLDE,APL LOGISTICS DEUTSHCLAND GMBH & CO. KG,I
APLDEN,APLDEN,APL DENMARK A/S,I
